# Count, Count uncertainty, Sky count
-8.348075599192004859e+01,6.159033004243444509e+01,6.790810054494007090e+03
1.298017672025670493e+02,6.238676884917898491e+01,6.793422897360804200e+03
2.626570326400712929e+02,6.288191705891375705e+01,6.784110849277572015e+03
2.263597872424079185e+02,6.310459661971719214e+01,6.857582800450929426e+03
5.843086407853854780e+01,6.316443837359252456e+01,7.037599490255859564e+03
5.197712831242436238e+01,6.323042552659766358e+01,7.060682923979242332e+03
6.108520813945501260e+01,6.329555292774624320e+01,7.066796755049790590e+03
8.289332983642290742e+01,6.332922344002386694e+01,7.054018048061899208e+03
5.142430250434991734e+01,6.324085126560866854e+01,7.062213526911747977e+03
7.339319989259134047e+01,6.325683082783549338e+01,7.045394541393937288e+03
6.372192936379525463e+01,6.330300655123576803e+01,7.065767054823813851e+03
6.311380507306419929e+01,6.332717198021181559e+01,7.072509857173932687e+03
6.802675419919478372e+01,6.329418000863017824e+01,7.060284445597563717e+03
7.974103626414148493e+01,6.319718665116270273e+01,7.024961336071270125e+03
9.368690760492233949e+01,6.311405414674960923e+01,6.991486949330498646e+03
1.012144182989788845e+02,6.308423032466536995e+01,6.977507274696013155e+03
1.214063067575765729e+02,6.310698519750977198e+01,6.963509611429726647e+03
9.073735617286413913e+01,6.308096935114088666e+01,6.985723630375008725e+03
8.202415678466358884e+01,6.312959574698736276e+01,7.005421131312997204e+03
7.893774212731933915e+01,6.316181704768297323e+01,7.016886385659398002e+03
1.163691139778143793e+02,6.322619399352595337e+01,6.996978190531871405e+03
9.352904038192433234e+01,6.314920281349515108e+01,7.000086056488657960e+03
8.015488209011083143e+01,6.313319704936618137e+01,7.008766226016822657e+03
8.690635647921452289e+01,6.314306348499898291e+01,7.005323314888422829e+03
1.039817388477083853e+02,6.323314916301779931e+01,7.009956920260116931e+03
8.138612730747180990e+01,6.324216626241607031e+01,7.034569949272046870e+03
1.028472612437376910e+02,6.334493035381024839e+01,7.038940868750266418e+03
1.141284705009330338e+02,6.331809233816480287e+01,7.021287462188734935e+03
1.209431038515611903e+02,6.334867052066301341e+01,7.021880358976702155e+03
9.690377074030642746e+01,6.328359346833806143e+01,7.029273958620827216e+03
8.946112421194614228e+01,6.327256562065299050e+01,7.033932679347890371e+03
8.548581353219533696e+01,6.338408985305871823e+01,7.064595973913530543e+03
1.156981077254621226e+02,6.344937264998501547e+01,7.051718388971894456e+03
1.010500290359192803e+02,6.337703088501260140e+01,7.048575004969394286e+03
1.292043172173841583e+02,6.345681046125892522e+01,7.040419324145044811e+03
1.593567671548126441e+02,6.347324489321145080e+01,7.016171947891612945e+03
1.408871419662160065e+02,6.350164616162196296e+01,7.041908868820121825e+03
1.144691491752620180e+02,6.356424527464496776e+01,7.083257554509796137e+03
1.046350000891780923e+02,6.364324353681806201e+01,7.110662847988303838e+03
1.420145322063282549e+02,6.380879444451396409e+01,7.113827032687287101e+03
1.405329921922511573e+02,6.383150754400607241e+01,7.120673313135247554e+03
1.425984268839179094e+02,6.385412539574019064e+01,7.124428453707771041e+03
9.699184482339906310e+01,6.364952480802408274e+01,7.117993265685835468e+03
1.090877651568874853e+02,6.361626997821288398e+01,7.097928104849866031e+03
1.250515601124162970e+02,6.363043500243980333e+01,7.088757324931502808e+03
1.333200693021869370e+02,6.358494631240579764e+01,7.067116658943822586e+03
1.100188187603514933e+02,6.349138026558747327e+01,7.067574851194309304e+03
1.081925913097794734e+02,6.348755568713585262e+01,7.067609139711825264e+03
1.286574375102432839e+02,6.357486817522156031e+01,7.069971396501072377e+03
1.016411498586137157e+02,6.356801968314083950e+01,7.093524396729204454e+03
9.482536496712867802e+01,6.367787981437888334e+01,7.126993646243542571e+03
1.186999491291494451e+02,6.372171586278864908e+01,7.115883046246714002e+03
1.134782981820161467e+02,6.374760804613739396e+01,7.126414072690011380e+03
9.230478069570592936e+01,6.365655236635694081e+01,7.125377018742838118e+03
5.278302942332054215e+01,6.367740709217387973e+01,7.167540342919607610e+03
4.596203249918389133e+01,6.364174596777682780e+01,7.165051684775891772e+03
1.202183467238597530e+02,6.375218231868143448e+01,7.121114843251150887e+03
8.864334148925307488e+01,6.373141764743385806e+01,7.146242330231942105e+03
1.134460545650557606e+02,6.376218067554216873e+01,7.130178140103470469e+03
9.153683884009838323e+01,6.370960803982664089e+01,7.137784246136692673e+03
8.944300731025147400e+01,6.370815805399279697e+01,7.138876007424277304e+03
1.268871467498681085e+02,6.364230766768631042e+01,7.087998371647534441e+03
1.756202546830618587e+02,6.366513028695568011e+01,7.047267902271886669e+03
1.298876533749492808e+02,6.344056773516179248e+01,7.036245199213348315e+03
1.073779828941618177e+02,6.321238607919760710e+01,7.002394537283791578e+03
9.555210034703148381e+01,6.308792859512591633e+01,6.983935785902105636e+03
1.225939388868022490e+02,6.325429191524770545e+01,6.998120188263613272e+03
9.065886430536441765e+01,6.334580800979181703e+01,7.050316126224042819e+03
1.300260840447494957e+02,6.356073794868190419e+01,7.064651723647666586e+03
9.682367147755250869e+01,6.355294595013672421e+01,7.094716888187793302e+03
1.182089666501888985e+02,6.373918575886185067e+01,7.120638491105831235e+03
7.901031804225864619e+01,6.374373473811227342e+01,7.158944195450503685e+03
1.257758070980940062e+02,6.372776713321142239e+01,7.110360020174470264e+03
1.025093954638092413e+02,6.365594041162011507e+01,7.114536694910565529e+03
1.008595935299998274e+02,6.357021126368741903e+01,7.095645864055369202e+03
1.193518722671250032e+02,6.352353850499570598e+01,7.066354486572832684e+03
9.773607519194095516e+01,6.351478993313953936e+01,7.084721363627724713e+03
1.257178449611017896e+02,6.361962693422670867e+01,7.083820022012126174e+03
1.130252187463284912e+02,6.368119847460403804e+01,7.110281611833343959e+03
1.009825659516153848e+02,6.363773790921481321e+01,7.111744359257720134e+03
1.506643143512061727e+02,6.379831531192796490e+01,7.103287109870241693e+03
1.249579202028659495e+02,6.377904313331166719e+01,7.122562198208951486e+03
9.594230502406942662e+01,6.359875579569175130e+01,7.106452095144542000e+03
1.043173051778411775e+02,6.353822088774933263e+01,7.083628317630817037e+03
1.200800384950489388e+02,6.354714422040688504e+01,7.071399956990829196e+03
1.000892925313422239e+02,6.345011881979235824e+01,7.066418194952450904e+03
8.248060292024966600e+01,6.352776283728558582e+01,7.101494723415790759e+03
1.261679241043959365e+02,6.361822602486732592e+01,7.083473783290812207e+03
1.028536663376022631e+02,6.366628140373428835e+01,7.116897907663728802e+03
1.122915281648769650e+02,6.368778882541589326e+01,7.112584784099709395e+03
1.227564299829510333e+02,6.372047990183328636e+01,7.112111519599386156e+03
1.185444698020287859e+02,6.366659078179790754e+01,7.102348164436215484e+03
1.451624244428527106e+02,6.366390527350514361e+01,7.075972670431083316e+03
1.129731792075435379e+02,6.356246891075123528e+01,7.083518248142219818e+03
7.473573833908854169e+01,6.349186545057665398e+01,7.101536179127328978e+03
9.787365075220324684e+01,6.349217082191981376e+01,7.078754046237895636e+03
1.169669739824358459e+02,6.348947491796499065e+01,7.060053111684378564e+03
8.660418641249118821e+01,6.349596515711287736e+01,7.091060489228722872e+03
9.866461035645713196e+01,6.357958791868813364e+01,7.099855829604544851e+03
8.377773246104204929e+01,6.366434495504178415e+01,7.134327326701464699e+03
1.058708354732172410e+02,6.382487387469384288e+01,7.152496208149133963e+03
1.490843366269696730e+02,6.397089402985797335e+01,7.147340545321958416e+03
1.149164846772926580e+02,6.392008231627031023e+01,7.167398779285787896e+03
6.538567145022295790e+01,6.383562035347931385e+01,7.193771180041672778e+03
1.057862740114623108e+02,6.380931199650655827e+01,7.148978953449662185e+03
1.588582130909890395e+02,6.390504663775278971e+01,7.121873230740727195e+03
1.181781769215366893e+02,6.375770724117562338e+01,7.124431661514862753e+03
1.334799608669927125e+02,6.374756157007070811e+01,7.107520788514392734e+03
9.741265968891090665e+01,6.369483425713478653e+01,7.129232074047834431e+03
9.931221158912403268e+01,6.375941373964379721e+01,7.143142669008604571e+03
1.140788585964747881e+02,6.381319574893650071e+01,7.142607989318165892e+03
1.197590040468399195e+02,6.374803581325840440e+01,7.121689229193997562e+03
1.510470058488318443e+02,6.371781255936209476e+01,7.083668877851242542e+03
1.064783076457661224e+02,6.352213261370619790e+01,7.078056974720217113e+03
1.300536645958036104e+02,6.355048874491500754e+01,7.062740867053655165e+03
1.244807635334526594e+02,6.353686135409360247e+01,7.065496758032108119e+03
1.180747104488111034e+02,6.365546428902531773e+01,7.099839300513108356e+03
1.440147471502501730e+02,6.385515457584545373e+01,7.123748448756817197e+03
1.389734990218518078e+02,6.395597943934981089e+01,7.152253272005678809e+03
1.280836265380359009e+02,6.404508251446110023e+01,7.185843202292944625e+03
1.030670018996847404e+02,6.396741060294682768e+01,7.189655935446330659e+03
1.376340882381900315e+02,6.414829886874824183e+01,7.201400996936339652e+03
