# Flux, Flux uncertainty, Sky flux
-1.092328748684160851e-15,8.058969680726000069e-16,8.885637128268473629e-14
1.690553071044373414e-15,8.125324172661121785e-16,8.847831727986939509e-14
3.352139296180359757e-15,8.025254190745041291e-16,8.658167016860383235e-14
2.820515302715661934e-15,7.863034446441018017e-16,8.544767365238056021e-14
7.222276398375801802e-16,7.807364133261508500e-16,8.698739869973140395e-14
6.391331550580375007e-16,7.775085441343358456e-16,8.682119810356210293e-14
7.411864889097980360e-16,7.680060372556681366e-16,8.574603302908938015e-14
9.911522200553121042e-16,7.572249845774468493e-16,8.434461086849371265e-14
6.147788690534443297e-16,7.560460157093864787e-16,8.442894572505834671e-14
8.735639180445721043e-16,7.529155979289130607e-16,8.385793872943265663e-14
7.550549102018513775e-16,7.500910032741001773e-16,8.372380061860452012e-14
7.444385515996287620e-16,7.469552522031240113e-16,8.342151115993614521e-14
7.986653843678986365e-16,7.431027865422093405e-16,8.289098688992895651e-14
9.317834612491784947e-16,7.384666174135371615e-16,8.208750595093128789e-14
1.089504435251858284e-15,7.339663959193035240e-16,8.130544848830990665e-14
1.171331865654308553e-15,7.300597132444505281e-16,8.074913387877115153e-14
1.408360382171754980e-15,7.320655752088890755e-16,8.077942011029691722e-14
1.051042234797296084e-15,7.306887239880891468e-16,8.091805719088617655e-14
9.550959202397247946e-16,7.350861222825065986e-16,8.157169063796115260e-14
9.180302635462311164e-16,7.345593880405095067e-16,8.160499507967893110e-14
1.352925968816969570e-15,7.350778642141154621e-16,8.134798980270052093e-14
1.089784963560170902e-15,7.358041032596631871e-16,8.156384901242795732e-14
9.390650173758682031e-16,7.396452372982984903e-16,8.211211851598377056e-14
1.023187578550514046e-15,7.434116541858437594e-16,8.247681861151853441e-14
1.220100311716353060e-15,7.419647513069547349e-16,8.225339101180137634e-14
9.625581727527981088e-16,7.479685544994742317e-16,8.319824299898102742e-14
1.212624976223121006e-15,7.468710759550881460e-16,8.299292951881082482e-14
1.338351500179427666e-15,7.425129198466705618e-16,8.233660336431545908e-14
1.410546567353543280e-15,7.388288120916979548e-16,8.189544439737808805e-14
1.123998967980598627e-15,7.340343229691209161e-16,8.153342862494397303e-14
