# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
1.811346830840666897e-15,8.118049299304849828e-16,8.834043509710286681e-14
3.287810568743934221e-15,8.005624922983571747e-16,8.644445184568623759e-14
2.465538326036041527e-15,7.853616443460356954e-16,8.570815602183641364e-14
7.041787375507549818e-16,7.800352898305025948e-16,8.695129836974884184e-14
6.661883951846590033e-16,7.749893456358265404e-16,8.653616234659339684e-14
8.193940693962588603e-16,7.646329347059833821e-16,8.530756558029940534e-14
8.554685725476265263e-16,7.567999629974369494e-16,8.437501382056316551e-14
7.203626228897293897e-16,7.547688118615337032e-16,8.419597607592297970e-14
8.195998040514672200e-16,7.516293940300588926e-16,8.379685776659854167e-14
7.497192804950003710e-16,7.485150197194294824e-16,8.357187426832079530e-14
7.742458985938026393e-16,7.448376330305504946e-16,8.312989315096055825e-14
8.780887922373383648e-16,7.403366682186503365e-16,8.241159899740218171e-14
1.033271473279735418e-15,7.355708799503688937e-16,8.158427892182508086e-14
1.145978410972255709e-15,7.312701618882231023e-16,8.092150269412482420e-14
1.345955712970777068e-15,7.315374735517856933e-16,8.077144637664040007e-14
1.128526698795030174e-15,7.309872942667951700e-16,8.088799373074961003e-14
9.714598491176042910e-16,7.343361329445172265e-16,8.146021151247874823e-14
9.226407714431738911e-16,7.346249072461288798e-16,8.160085242026747614e-14
1.318850295803761570e-15,7.350372397049682032e-16,8.136812710843807043e-14
1.096316394154386363e-15,7.358317037235499440e-16,8.156414765944431012e-14
9.440250688082745147e-16,7.398673135310860902e-16,8.213362203663264672e-14
1.043759662750916820e-15,7.432604917527407417e-16,8.245347643694110382e-14
1.181506609072911300e-15,7.428644448331262316e-16,8.239498079894078293e-14
1.011347448748301801e-15,7.477544309818456314e-16,8.315818531875076077e-14
1.242827816867128767e-15,7.458241314416934997e-16,8.283526259515032738e-14
1.358942886846651418e-15,7.414621432455019852e-16,8.221077655612075730e-14
1.315962351836909516e-15,7.372462373520932010e-16,8.177594949351130350e-14
1.089506182551367195e-15,7.324759863622888823e-16,8.138577415617987912e-14
1.010460213185521523e-15,7.287261198901689857e-16,8.109946382752565881e-14
1.138060388106623315e-15,7.256136051476091016e-16,8.076800222626223282e-14
1.231748886109975366e-15,7.213997792228709237e-16,8.020409596868324062e-14
1.316980228862537824e-15,7.166166338271159968e-16,7.959367975761286754e-14
1.650278694045772653e-15,7.118143785717601565e-16,7.880058425850466826e-14
1.643159396473628431e-15,7.070347033415686608e-16,7.831462443940857215e-14
1.358687337333773874e-15,7.028183595580444733e-16,7.819777786885220893e-14
1.178233451332025548e-15,6.984600294101277872e-16,7.798101906751558725e-14
1.453968704300306877e-15,6.948837346167620842e-16,7.750849528972328062e-14
1.520633897036156403e-15,6.892883362580154268e-16,7.688434218880363138e-14
1.523239802066645093e-15,6.834679219278290487e-16,7.625503116504204540e-14
1.079556742056917664e-15,6.772021754558759549e-16,7.571494599059601375e-14
1.146118567502331120e-15,6.725376424896362502e-16,7.504738315640363098e-14
1.314128182191774935e-15,6.683648935547526703e-16,7.445538174543262062e-14
1.374403302980653547e-15,6.638882908073801430e-16,7.379579241530621014e-14
1.137456040490285208e-15,6.576553830661519275e-16,7.320777974382234998e-14
1.128330662200983077e-15,6.431577583344383222e-16,7.158639453977882551e-14
1.235087134720125406e-15,6.369289666367445479e-16,7.087948291724892808e-14
9.921918296956563998e-16,6.310050813067155200e-16,7.046434793343896815e-14
9.994347519883482520e-16,6.265752963551852104e-16,7.008328230707453807e-14
