# Count, Count uncertainty, Sky count
4.401599292972573494e+03,6.156885617766563712e+01,6.731263326276300177e+03
1.929771168644669524e+04,1.071984711276750630e+02,6.726292204332969959e+03
1.918532814001138468e+04,1.069967429725492707e+02,6.807236046643548434e+03
1.940801636991254054e+04,1.075415918609677988e+02,6.824491049536346509e+03
1.971839917565804353e+04,1.083070836615435582e+02,6.854325662610619474e+03
1.980722786608120441e+04,1.084904179937326063e+02,6.832406788882294677e+03
1.977503029019071619e+04,1.084243759133789098e+02,6.841598675655018269e+03
1.995076423786746091e+04,1.088371845455192073e+02,6.839371296626919502e+03
2.005738843509828075e+04,1.090822062889685924e+02,6.834238103246088940e+03
2.004853933231174597e+04,1.086673150605406306e+02,6.843730384293784482e+03
2.018479297095107540e+04,1.094097713718132070e+02,6.866119235696306532e+03
2.018710886468807439e+04,1.090100008281562936e+02,6.861079300495619464e+03
2.048922841738061470e+04,1.097026152091801663e+02,6.855571006734096954e+03
2.058286215826799889e+04,1.099236535064744800e+02,6.860101498478231406e+03
2.075495446509480462e+04,1.103199947856681860e+02,6.853588759188640324e+03
2.080569117459249173e+04,1.104293414077979492e+02,6.853381043517286344e+03
2.078126550195552409e+04,1.107767012544325240e+02,6.854316460005572480e+03
2.088654642787784542e+04,1.110131577398270650e+02,6.846854140483159426e+03
2.093743426447497404e+04,1.107428846024615154e+02,6.865120708015459968e+03
2.108190061178216274e+04,1.110786071176575120e+02,6.862899426666437648e+03
2.112974662404248375e+04,1.111865352079950213e+02,6.857729146222135569e+03
2.108293150830781087e+04,1.114696774893515396e+02,6.852063611920281801e+03
2.090552693079174060e+04,1.110592236395421395e+02,6.850923335550725824e+03
2.064710745532303554e+04,1.100651234834282803e+02,6.852400275868746576e+03
2.059723277935752049e+04,1.099345256505347095e+02,6.833828404930603028e+03
2.034102821119147120e+04,1.097560611451179824e+02,6.850675913579985718e+03
2.024676485567463533e+04,1.095491036797602646e+02,6.861718242117049158e+03
2.012135344047721082e+04,1.092481712483698857e+02,6.851745262642798480e+03
2.003889810280778693e+04,1.090571711442519955e+02,6.852168814959774863e+03
1.995241404437526216e+04,1.088645661111910385e+02,6.862937726542882956e+03
2.011782592914676570e+04,1.088500093024993021e+02,6.863787555611550488e+03
2.029049726633101454e+04,1.096486910966405190e+02,6.855828816685931088e+03
2.047555499731860618e+04,1.100667174727531403e+02,6.843399264909940030e+03
2.082833688858263122e+04,1.109036187530069952e+02,6.867595447072887509e+03
2.103398445708227882e+04,1.109726738833100654e+02,6.868329709234815709e+03
2.116150852306559682e+04,1.116659226640501572e+02,6.865860348667813014e+03
2.151621956456565022e+04,1.124675610326676320e+02,6.861728842831918882e+03
2.177156038507670019e+04,1.126462435598554492e+02,6.858544689782361274e+03
2.179482832154828066e+04,1.131094577621597352e+02,6.874641528367686988e+03
2.192238444589176652e+04,1.133989872225785263e+02,6.876776939609436340e+03
2.205994733694694150e+04,1.137135592886363185e+02,6.883042593840458721e+03
2.211647082558310649e+04,1.138285713464416204e+02,6.871794550168374371e+03
2.226097732927229663e+04,1.141476486226516869e+02,6.869725116776382492e+03
2.241102072319967556e+04,1.144950596061496668e+02,6.884744208440895818e+03
2.272113367843762535e+04,1.151771007690413313e+02,6.879905932725163439e+03
2.262007261124657089e+04,1.149442940431844704e+02,6.862329089475332694e+03
2.269959696517850898e+04,1.151134176788441579e+02,6.861262974438634046e+03
2.298913657063514984e+04,1.157764300642261617e+02,6.884460516801717858e+03
2.296259557212796426e+04,1.157018257735014686e+02,6.864600688006496057e+03
2.309902969154615494e+04,1.160321827942274808e+02,6.900185457636260253e+03
2.321317620063668801e+04,1.162949497137044119e+02,6.913552853487113680e+03
2.349822310700155140e+04,1.168986591079315076e+02,6.891747744586722547e+03
2.351717006809680970e+04,1.169474996742302437e+02,6.896205384932438392e+03
2.334609677980562265e+04,1.165636745131173342e+02,6.882510784468640850e+03
2.374936739465743085e+04,1.174703594014619341e+02,6.914887080495675036e+03
2.377320786485381177e+04,1.174843671098493729e+02,6.876586292652317752e+03
2.359310699685703003e+04,1.171352346715291333e+02,6.923407187100477131e+03
2.352171225396572481e+04,1.169766587167736702e+02,6.921100080658005027e+03
2.364476685773982535e+04,1.172204462199277373e+02,6.891901247885496559e+03
2.370188385619704422e+04,1.173528908247140663e+02,6.899415395347530648e+03
2.355239818413100511e+04,1.170204298064094672e+02,6.893053702769151641e+03
2.363568552176358935e+04,1.169151114253658648e+02,6.886415483963540282e+03
2.387932752167403669e+04,1.177240252283617394e+02,6.884933436712189177e+03
2.379072394808063109e+04,1.172338343087581194e+02,6.877349350161801340e+03
2.371435554509106441e+04,1.170784432584195685e+02,6.884952942899534719e+03
2.372982194458358936e+04,1.179281522285563284e+02,6.860515445783202267e+03
2.394630795997900350e+04,1.176045725485085001e+02,6.901733396290363089e+03
2.384181929237931763e+04,1.173548614789782647e+02,6.876517218191202119e+03
2.383937713877549686e+04,1.173417711391755063e+02,6.873368898902182082e+03
2.400100533412535151e+04,1.179867689754526481e+02,6.886627383930808719e+03
2.390986598194662292e+04,1.178056771945809516e+02,6.905434119503494003e+03
2.388728832715122189e+04,1.174496553389948730e+02,6.871709487843906572e+03
2.398207732767065681e+04,1.176487266423007725e+02,6.868279001216329561e+03
2.407028996154749257e+04,1.177305027823002490e+02,6.879636249192871219e+03
2.388151515120090698e+04,1.174468073753108257e+02,6.886088557401985781e+03
2.378354454358445946e+04,1.175258859312861404e+02,6.896790717659057009e+03
2.386600930979561599e+04,1.182570655211180082e+02,6.895830463668392440e+03
2.393033893789471767e+04,1.175581130785198525e+02,6.896270414942505340e+03
2.402359335968229061e+04,1.186061917429329071e+02,6.908457333018925965e+03
2.383051004926953101e+04,1.181760260423507418e+02,6.892230909175714260e+03
2.375762444345120821e+04,1.174889086282178567e+02,6.914515290543447009e+03
2.364921806449036012e+04,1.172542455214379657e+02,6.917980287256717929e+03
2.345888950808183290e+04,1.173841593849973606e+02,6.904304665331520482e+03
2.346907135427949834e+04,1.173938202756947078e+02,6.891805128053722910e+03
