# Flux, Flux uncertainty, Sky flux
3.472745753106747897e-13,4.857620368941674631e-15,5.310789232152594597e-13
1.515690163287027688e-12,8.419633936273356385e-15,5.282996810788663059e-13
1.476777394977261787e-12,8.236000458523259126e-15,5.239822974407363747e-13
1.458730615394409507e-12,8.082959612453732097e-15,5.129372233978929687e-13
1.470333892695156788e-12,8.076090483203383253e-15,5.111037282249487469e-13
1.469464051281095566e-12,8.048716873866664967e-15,5.068844680271664363e-13
1.447786686665792936e-12,7.938059545491766754e-15,5.008930622491667185e-13
1.439502007885707881e-12,7.852899458785286306e-15,4.934792771238066388e-13
1.447069024618437149e-12,7.869892053423327569e-15,4.930658992857071191e-13
1.440173506115796121e-12,7.806044397394164574e-15,4.916148263516959408e-13
1.443552782489678210e-12,7.824642052194340166e-15,4.910432097004702575e-13
1.437208158427473029e-12,7.760896500363358197e-15,4.884701029942422500e-13
1.452014656877776823e-12,7.774319361212745645e-15,4.858352584229149813e-13
1.451828821052995841e-12,7.753553759870876932e-15,4.838828047458305791e-13
1.457007587386132701e-12,7.744515639070226315e-15,4.811251616936055568e-13
1.453517749780107448e-12,7.714764507740779607e-15,4.787877946070686325e-13
1.455302346567575892e-12,7.757640807073116426e-15,4.800045900681173122e-13
1.460544956876949174e-12,7.762877804799618321e-15,4.787837146694236593e-13
1.471790832237622357e-12,7.784638759200849631e-15,4.825816569800787735e-13
1.480131724605659274e-12,7.798678750433326199e-15,4.818348853475729231e-13
1.483022053433131392e-12,7.803788975427347183e-15,4.813197120284663062e-13
1.482992531556365376e-12,7.840878254836833626e-15,4.819803715732183650e-13
1.478546748635567940e-12,7.854681422852639962e-15,4.845326528464806269e-13
1.467452102212479304e-12,7.822659768954351493e-15,4.870207224805495142e-13
1.458946179248613865e-12,7.786898263639437294e-15,4.840547246233116664e-13
1.452214092964073071e-12,7.835852599401644310e-15,4.890926852240790113e-13
1.440980625582696985e-12,7.796709107738819945e-15,4.883547132383865586e-13
1.424256295568204897e-12,7.732948786973542809e-15,4.849893102278903004e-13
1.410650670225979640e-12,7.677147255219221508e-15,4.823626769163616023e-13
1.396828870859422613e-12,7.621392008981703841e-15,4.804606366941294048e-13
1.400617297762634972e-12,7.578214784621622532e-15,4.778617536713709172e-13
1.404790401796521123e-12,7.591407287869046611e-15,4.746558150657833218e-13
1.409696848088236102e-12,7.577850989683928366e-15,4.711529614321194828e-13
1.425961235464636499e-12,7.592745501501180403e-15,4.701731559636673812e-13
1.429446182280949518e-12,7.541579454129284390e-15,4.667640456588233013e-13
1.428038974907018978e-12,7.535535075838523123e-15,4.633278465700777950e-13
1.442148881531387851e-12,7.538265115073385572e-15,4.599151141011085742e-13
1.449838903012634787e-12,7.501479145392889732e-15,4.567327620721733347e-13
1.440557236900047773e-12,7.476115229594264142e-15,4.543882823335841992e-13
1.438695004406909182e-12,7.442007817379562641e-15,4.513005715165613274e-13
1.434621348728791189e-12,7.395117372841040574e-15,4.476239085482666527e-13
1.426226253344485217e-12,7.340470281867884463e-15,4.431418499059419566e-13
1.427223349192099568e-12,7.318375422600976608e-15,4.404403249762972417e-13
1.428353267049246318e-12,7.297275499823515391e-15,4.387951358567539926e-13
1.439397689216262228e-12,7.296539646475360895e-15,4.358462408496691070e-13
1.424898923894459684e-12,7.240648768232046800e-15,4.322764786414267070e-13
1.421548905848226614e-12,7.208910061303545923e-15,4.296825573164305425e-13
1.406185556602208646e-12,7.081742424342932638e-15,4.211045035980352466e-13
1.389611282684449832e-12,7.001846198833194125e-15,4.154202227363126047e-13
1.384438731998618226e-12,6.954380775460167682e-15,4.135621336952278063e-13
1.379677804282717096e-12,6.912003746638164745e-15,4.109078110745565791e-13
1.385460160597533390e-12,6.892369447843646858e-15,4.063388918189225564e-13
1.378863011613740360e-12,6.856887165189258575e-15,4.043395739470608550e-13
1.361241791755340780e-12,6.796482797290248432e-15,4.012988295383718134e-13
1.377103004726957107e-12,6.811498690045095810e-15,4.009585441859120734e-13
1.370896148794774769e-12,6.774805795249559404e-15,3.965424320959627567e-13
1.353049881794943707e-12,6.717632207044574287e-15,3.970530578008436980e-13
1.341589141059032280e-12,6.671904383378084825e-15,3.947532650744032863e-13
1.341494027243673363e-12,6.650542567028834010e-15,3.910144014537081631e-13
1.344197344726168593e-12,6.655396895857997267e-15,3.912843346485385945e-13
1.343323617382778938e-12,6.674322752455344014e-15,3.931490017460936812e-13
1.342299799812578091e-12,6.639753711261261569e-15,3.910880484951036956e-13
1.349272929282740988e-12,6.651855678207620428e-15,3.890249546448744247e-13
1.340314557487272946e-12,6.604684039753915562e-15,3.874540123732202065e-13
1.331341986053266961e-12,6.572872995654939248e-15,3.865265032167650672e-13
1.325363043875485136e-12,6.586548148623022036e-15,3.831749625012858651e-13
1.331803721024611143e-12,6.540724674191061261e-15,3.838484928057107410e-13
1.321400258065899492e-12,6.504232849930896439e-15,3.811215711049727456e-13
1.316381362167583728e-12,6.479469645207300435e-15,3.795390567944136123e-13
1.318611129500788885e-12,6.482172914801357373e-15,3.783501310365834876e-13
1.318426849939563578e-12,6.495986552409911593e-15,3.807762770613801707e-13
1.313098666172101686e-12,6.456278488199574413e-15,3.777420207447260220e-13
1.313448209141024309e-12,6.443374658698121121e-15,3.761612737200151096e-13
1.312242747576257653e-12,6.418327269483695277e-15,3.750579153133589243e-13
1.298087767999045312e-12,6.383860616848869327e-15,3.742956537358650522e-13
1.288202493484461624e-12,6.365625570579307962e-15,3.735550427837908365e-13
1.286793620384157381e-12,6.376115734416812426e-15,3.718053794715126777e-13
1.285777838697580988e-12,6.316400989879288964e-15,3.705368190651682187e-13
1.288725733908885708e-12,6.362530750981319628e-15,3.705984618277264026e-13
1.274515757261976598e-12,6.320351809935119259e-15,3.686138852366589607e-13
1.273990684369613833e-12,6.300283745345655981e-15,3.707874113445637363e-13
1.277302215498771740e-12,6.332941206460019519e-15,3.736424402529293304e-13
1.282464110165312328e-12,6.417224969720791033e-15,3.774485120399295263e-13
1.277238285319021325e-12,6.388828916685562568e-15,3.750671354494423338e-13
1.270836496380171068e-12,6.359385580817252195e-15,3.739983934258124522e-13
1.281155237574783956e-12,6.381188141816779994e-15,3.743796402811263788e-13
1.274217669352696663e-12,6.353370624889669933e-15,3.729470928405838109e-13
1.270238910474951421e-12,6.329742727654538724e-15,3.716837910698135013e-13
1.280224456866597836e-12,6.341379626726232546e-15,3.704539844777392547e-13
1.281962231559876274e-12,6.298534901239677676e-15,3.672423990720496950e-13
