# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
1.513683774570136113e-12,8.410165575275023689e-15,5.280770716322939128e-13
1.475227899085099837e-12,8.222860376591798637e-15,5.230339677523597106e-13
1.460124102137606951e-12,8.082134669612190647e-15,5.127170311926226886e-13
1.470199707405424871e-12,8.071867718409156641e-15,5.104528479116618191e-13
1.465380695058015451e-12,8.027872398605586971e-15,5.057558693943177533e-13
1.445944084433947757e-12,7.919119020458175309e-15,4.992441561924532683e-13
1.441442099215856575e-12,7.857256153992711502e-15,4.933732920588729898e-13
1.445067249971057008e-12,7.851357026784665652e-15,4.926446516290311084e-13
1.441268897637446708e-12,7.812072822162305051e-15,4.914295369689670031e-13
1.441281821427343257e-12,7.801825307705479790e-15,4.901222055429684791e-13
1.443007209187543053e-12,7.766153641453955374e-15,4.874381508777235829e-13
1.451935618470263982e-12,7.765487479292020562e-15,4.850048543306950357e-13
1.454205391448443341e-12,7.749406105981212554e-15,4.826173039648444686e-13
1.455289063570854587e-12,7.729865092685818566e-15,4.799741565590612125e-13
1.454456274591290902e-12,7.737313282353452616e-15,4.794277109951001739e-13
1.458234569514775277e-12,7.760569890869526491e-15,4.793217472382162187e-13
1.467209773411169450e-12,7.775774334775482832e-15,4.810345477879008593e-13
1.477011576966457606e-12,7.793426693031615250e-15,4.821142364821247466e-13
1.482036840169661819e-12,7.802047076237341319e-15,4.814953168185321003e-13
1.483001615901085126e-12,7.829465301580952843e-15,4.817770762646451776e-13
1.479767689618215620e-12,7.850890672422153171e-15,4.838317223554321479e-13
1.470132628162274745e-12,7.830396371902878697e-15,4.864195915418348208e-13
1.460720894355700349e-12,7.794359709505352617e-15,4.846735641339899137e-13
1.453397235300455330e-12,7.827249033621040086e-15,4.882072799835844046e-13
1.442586019191327251e-12,7.802303169590031368e-15,4.884601780489350503e-13
1.426098301433969069e-12,7.739971303555723463e-15,4.853599733325182379e-13
1.411704147533764745e-12,7.681467942138358290e-15,4.825660559246736395e-13
1.397447843361454359e-12,7.623888859308480119e-15,4.805458145037689126e-13
1.400655905153189477e-12,7.579009577552009347e-15,4.778282940480775621e-13
1.405049387203562991e-12,7.590691722428253472e-15,4.744709179080064951e-13
1.411082289013199894e-12,7.579119741205362138e-15,4.710694991680279046e-13
1.426370779714271092e-12,7.586732565986752633e-15,4.697725238750559453e-13
1.429235394468314923e-12,7.540674057169143038e-15,4.662493319761687282e-13
1.430607021108172974e-12,7.536031951336904616e-15,4.627067188131190491e-13
1.443795719659894756e-12,7.530387303858986232e-15,4.592336051258264234e-13
1.447553382924279556e-12,7.495233527593893253e-15,4.561554567183402817e-13
1.440039040592558549e-12,7.466624290555884095e-15,4.535290768638746120e-13
1.437431232787759626e-12,7.427460978446804684e-15,4.501599590839818148e-13
1.431749110514224425e-12,7.376420805878689202e-15,4.460904488884181208e-13
1.426599141129493748e-12,7.332207382015454966e-15,4.421315501944642766e-13
1.427681817148807415e-12,7.309814058231618012e-15,4.397727839782819215e-13
1.433184886183357830e-12,7.296953585008681927e-15,4.375050785477109590e-13
1.432595910003215338e-12,7.270319661159601309e-15,4.341715648448763434e-13
1.423221490642654955e-12,7.224756447164998115e-15,4.309776408969536992e-13
1.413371641255361006e-12,7.141224077054640058e-15,4.251168201308807857e-13
1.396842122638913662e-12,7.036702435823923891e-15,4.179000975936538718e-13
1.386532874005508370e-12,6.973597472018123939e-15,4.143143935665783442e-13
1.381456037255805203e-12,6.927831802523388617e-15,4.118992153316568782e-13
1.383481349977690205e-12,6.899088604680834874e-15,4.079024457495385913e-13
1.380914631209650779e-12,6.867921650931539300e-15,4.049613333971569873e-13
1.366172509569647512e-12,6.813384969515266451e-15,4.021496816783007075e-13
1.373158178616334011e-12,6.807764102663939159e-15,4.010431762090648606e-13
1.372247142364624240e-12,6.782792425754531528e-15,3.975036496757558115e-13
1.356381325404759991e-12,6.728305060088719213e-15,3.969577369843642761e-13
1.343374128688575378e-12,6.679026401182295659e-15,3.951114532283631953e-13
1.341505905234380803e-12,6.653210270507396756e-15,3.914813177179307462e-13
1.343943027399261354e-12,6.654940219962637162e-15,3.912589404101640043e-13
1.343378950867748689e-12,6.673124170758788632e-15,3.930309116695995365e-13
1.342333222233075035e-12,6.640882214096720679e-15,3.911553281044637675e-13
1.349003122217848080e-12,6.650484680987685299e-15,3.889842770688449193e-13
1.339784714721129655e-12,6.602805553555919620e-15,3.873992416733496051e-13
1.330806888656353544e-12,6.574096880840316569e-15,3.862265503724029205e-13
1.326135170509004904e-12,6.581054700615907747e-15,3.832557072233838972e-13
1.330241027706821509e-12,6.535243275338425540e-15,3.834388847418582288e-13
1.320494470617382564e-12,6.499763699648021167e-15,3.808359661375369044e-13
1.316851134808599491e-12,6.480039176421461511e-15,3.792885711114861180e-13
1.318566749493967461e-12,6.485499650155084766e-15,3.789344192583186000e-13
1.316983350183043017e-12,6.485228931516737406e-15,3.799542430540213072e-13
1.313203859885082666e-12,6.452395126617109416e-15,3.772663005512231856e-13
1.313049302837531559e-12,6.435086081330161604e-15,3.757961549669240503e-13
1.307135262982891031e-12,6.405890805244588198e-15,3.747828715210363057e-13
1.294225818243651808e-12,6.376736603006216557e-15,3.740063140436809660e-13
1.287610105995973424e-12,6.370036359463122894e-15,3.728193635696470777e-13
1.286336313427652807e-12,6.349232036429561562e-15,3.712342710274111056e-13
1.287192463107438850e-12,6.338537558989883621e-15,3.705663999526677369e-13
1.281485874256542815e-12,6.341040946948084922e-15,3.695873372955985626e-13
1.274232717892062918e-12,6.309534164538821497e-15,3.697855196307028642e-13
1.275873440549017687e-12,6.318850998473771415e-15,3.724106252326267079e-13
1.280388949203834379e-12,6.383341601983956594e-15,3.759184127064112190e-13
1.279185609545037633e-12,6.399410274389885843e-15,3.759545192524443290e-13
1.273034312066332938e-12,6.369493853058406812e-15,3.743653061757376348e-13
1.277914646307072161e-12,6.374341067405639183e-15,3.742599100536818116e-13
1.276193792563850675e-12,6.361294271780999130e-15,3.733551450798861095e-13
1.271256266247961455e-12,6.335784304536892690e-15,3.720068132455818754e-13
1.277961652681084098e-12,6.338742612897138665e-15,3.707326684269967268e-13
1.281618886781104630e-12,6.307000045110517168e-15,3.678769353470267243e-13
1.276939517574426841e-12,6.300533443506429945e-15,3.670262266739401661e-13
1.273687443524359363e-12,6.286250055598572597e-15,3.662468218295713685e-13
1.264602969667935796e-12,6.251128177980647631e-15,3.639930754678728273e-13
1.267015793132970501e-12,6.214823730710338874e-15,3.625496333041265426e-13
1.263560517369586834e-12,6.222441423504516874e-15,3.611967028469120471e-13
1.256517043081736304e-12,6.197860675292721802e-15,3.612394529722797811e-13
1.258589432114598082e-12,6.188413608826250755e-15,3.593699057643432579e-13
1.251991065543769803e-12,6.169414346837340081e-15,3.583535450636605141e-13
1.236828221091844112e-12,6.122400602825940503e-15,3.580437765737309722e-13
1.230176356009489797e-12,6.105852301562143373e-15,3.576834457253742137e-13
1.223354348719711537e-12,6.099885403941291713e-15,3.586943854926969711e-13
1.221583551706363704e-12,6.092435747066433792e-15,3.579941315875814594e-13
1.219309740567504014e-12,6.080072951066015816e-15,3.573445355266949288e-13
1.215064049083570911e-12,6.064098068184869338e-15,3.567692397508364670e-13
1.224213102589052157e-12,6.074846599036286810e-15,3.566104717931510761e-13
1.226125232943373434e-12,6.050253661345819761e-15,3.552552115405632906e-13
1.221409747601403617e-12,6.036009013370417902e-15,3.536159015160142254e-13
1.217498748308139682e-12,6.037159551937492625e-15,3.530888165765984781e-13
1.225000095029233994e-12,6.032884017679827936e-15,3.524198181488322254e-13
1.234498423106817374e-12,6.030204472368495737e-15,3.507491250364664215e-13
1.239360536678318027e-12,6.044170620071695274e-15,3.492397732306570403e-13
1.228904306072631561e-12,5.994805015227056445e-15,3.460683426820886365e-13
1.224659114287066811e-12,5.941242478066160175e-15,3.430331044732352589e-13
1.221759579543961188e-12,5.875489184708772764e-15,3.380484743455591115e-13
1.210481578173211049e-12,5.808620252437090375e-15,3.313442515884575985e-13
1.200635352455620714e-12,5.762529822950829880e-15,3.273183678400330476e-13
1.193046818561340652e-12,5.724732461978819508e-15,3.261962204115636153e-13
1.189582294028465807e-12,5.663105705234549468e-15,3.232625142062531409e-13
1.184273943402175415e-12,5.627242112665429970e-15,3.199679180498689162e-13
1.181304594531936752e-12,5.612819203803712657e-15,3.182450477209014812e-13
1.177573714445655344e-12,5.597816644473533683e-15,3.169512401354996528e-13
1.171451092787846015e-12,5.558615092230185987e-15,3.144826999784397196e-13
1.170542283085093608e-12,5.535865180266471537e-15,3.133861661022086424e-13
1.176102141053980117e-12,5.536053154055294023e-15,3.120662507225291972e-13
1.168443822970032340e-12,5.511598817434941537e-15,3.119308198528805395e-13
1.165006293175748825e-12,5.494918923120893835e-15,3.106542848070166263e-13
1.176110993248606867e-12,5.509210126819503158e-15,3.101065422436256501e-13
1.169005427803558311e-12,5.485795029878700238e-15,3.094111141364423719e-13
1.164411989720434906e-12,5.467812598354098048e-15,3.089372296181896565e-13
1.168636116075636967e-12,5.465481197766271319e-15,3.094001716955371204e-13
1.175352557803105611e-12,5.496181029619215179e-15,3.090364800949383033e-13
1.174247499057552638e-12,5.485924736277542629e-15,3.078139820582899098e-13
1.170771977177968974e-12,5.473340589258143966e-15,3.073949356273562304e-13
1.173207784336134264e-12,5.451214864038890128e-15,3.060551302393528349e-13
1.171867801119095070e-12,5.462265850448546574e-15,3.057395930325359146e-13
1.172447808414782214e-12,5.463241123127617932e-15,3.060441110675574166e-13
1.171194170393963270e-12,5.455623899656264291e-15,3.056870708682525917e-13
1.167074783868224879e-12,5.422197272552044831e-15,3.046599802251290530e-13
1.165930019709123061e-12,5.416056445066845453e-15,3.042577792840401710e-13
1.163674571274136631e-12,5.411459123543932313e-15,3.037919054332359368e-13
1.164064906303538331e-12,5.419887333271890028e-15,3.035020885572910232e-13
1.160802794923392109e-12,5.391166767379455534e-15,3.030452302834239849e-13
1.158484919171167955e-12,5.387012007439488826e-15,3.019495184687288202e-13
1.152180766378355128e-12,5.385101110622064626e-15,3.014140654665958713e-13
1.153739320205571609e-12,5.379403409492289894e-15,3.012096289227185872e-13
1.152739264908491219e-12,5.355855213724444551e-15,2.998749285043707884e-13
1.147487194187402835e-12,5.337657731439008170e-15,2.988163796995596646e-13
1.147796498871549561e-12,5.341701445115909444e-15,2.990006374263260992e-13
1.148929828251352883e-12,5.339229455693076512e-15,2.981390203995163508e-13
1.150600347477313363e-12,5.334690928880965845e-15,2.971487115907007242e-13
1.147745610975017338e-12,5.321113356106496130e-15,2.969533404469969034e-13
1.141448741906241506e-12,5.287210876849211467e-15,2.965220906961744164e-13
1.136501817319953854e-12,5.266960089041779218e-15,2.960130491313204687e-13
1.134438323260502183e-12,5.252397780886255564e-15,2.951207832576071358e-13
1.134563751808156546e-12,5.253940333032721589e-15,2.939449796205416423e-13
1.128635786009695708e-12,5.223197328311200105e-15,2.928993376619282438e-13
1.124322923986318101e-12,5.211704299197704673e-15,2.920116675442151646e-13
1.122387975807153056e-12,5.191111336861904823e-15,2.914273364888784097e-13
1.122942877603414363e-12,5.171653078526488855e-15,2.895610957401538976e-13
1.125108613471944940e-12,5.187519321793416553e-15,2.884351911472695717e-13
1.114312382959607324e-12,5.147996034719966169e-15,2.871159247811246603e-13
1.107238217080504578e-12,5.116913611551620667e-15,2.862646253890742543e-13
1.104410192928525689e-12,5.097555668664150769e-15,2.844358142990122170e-13
1.105063684570395919e-12,5.092314335970759724e-15,2.843240787953006149e-13
1.095958452539150465e-12,5.070584729714813752e-15,2.837224539241482867e-13
1.092748437728151267e-12,5.063519475931731489e-15,2.828160924431272501e-13
1.089739543086584688e-12,5.053930016263941797e-15,2.827119137901730565e-13
1.088193101338788190e-12,5.036646968434747774e-15,2.818604566953450081e-13
1.088288284960619963e-12,5.046567408626699613e-15,2.815566032250902393e-13
1.073461498515048242e-12,4.997542075263170280e-15,2.813725379689350631e-13
1.061027938179009860e-12,4.954622675072174803e-15,2.810571537532261950e-13
1.059845165392200062e-12,4.947231188470638034e-15,2.807056343373458910e-13
1.060682602920678178e-12,4.945184098775474561e-15,2.806764762578230435e-13
1.065006849653284421e-12,4.962332120656303803e-15,2.789238365507391419e-13
1.063274875188538775e-12,4.945945334321955795e-15,2.782081281361701319e-13
1.068790512183771867e-12,4.957581658544116261e-15,2.776915615699270297e-13
1.065621816426168847e-12,4.944111725488045633e-15,2.768569406604856592e-13
1.064120684522157173e-12,4.921557846967586177e-15,2.749109439908877034e-13
1.062967369530087418e-12,4.888695945743364812e-15,2.712647781407837602e-13
1.064218841103144241e-12,4.875495757077126395e-15,2.700349501663840091e-13
1.058562846116569903e-12,4.845700965158260935e-15,2.686221081059619370e-13
1.055344102924725428e-12,4.828376520037833388e-15,2.682217682948593708e-13
1.050619350451665100e-12,4.807921394345112902e-15,2.671122832713882543e-13
1.053205986704617392e-12,4.802490890561086295e-15,2.658112113303468719e-13
1.051162581402606959e-12,4.781493282844076002e-15,2.633307596780864020e-13
1.044864014740888973e-12,4.752325596750696583e-15,2.632383871343637785e-13
1.046065348218466366e-12,4.753910787665240553e-15,2.634526710859958939e-13
1.040925673403168435e-12,4.749475761211347977e-15,2.631400615143422180e-13
1.033903065676319044e-12,4.737178928678447743e-15,2.631509417274692712e-13
1.028749657140221466e-12,4.722411967368358239e-15,2.627771097650652013e-13
1.014842040456139855e-12,4.689250215595202834e-15,2.622065272860016863e-13
1.002347826289153131e-12,4.653543914876981447e-15,2.618851861624829339e-13
1.003228185757039897e-12,4.649650873729355679e-15,2.615868575477621705e-13
1.002178161063351891e-12,4.638256134483422781e-15,2.615555539016315225e-13
9.997056074034103432e-13,4.637205176297709667e-15,2.610659831425956229e-13
1.003356648718862791e-12,4.652389569050497758e-15,2.604402832278818012e-13
1.003855714936516509e-12,4.651289257812183449e-15,2.602812694034903574e-13
