# Count, Count uncertainty, Sky count
2.311230360459146027e+02,7.476268795013947965e+01,9.927116041567604043e+03
7.702677521014586546e+02,7.646125905812421308e+01,9.922197211403063193e+03
1.278066633890149660e+03,7.812153002074202846e+01,9.925485757046679282e+03
9.901787424728904625e+02,7.825919284397343745e+01,1.021021045307837267e+04
2.310071036550258441e+02,7.830341646666418853e+01,1.091015649015742383e+04
2.860875186498629432e+02,7.837807951357002878e+01,1.087970261387065511e+04
2.558420872779128672e+02,7.852888032020106834e+01,1.095399262079039181e+04
2.790449543784473576e+02,7.841342252755917741e+01,1.089622926712816479e+04
2.820594297555510934e+02,7.844672375901444639e+01,1.090164755524608881e+04
1.804525623970815218e+02,7.831240119458230708e+01,1.098017371147507220e+04
1.830695997501010766e+02,7.858178306919820955e+01,1.104008722159651916e+04
2.482513140934599676e+02,7.859358065466211940e+01,1.098210919702149477e+04
2.278237391205426263e+02,7.864304320238578327e+01,1.101984788316799495e+04
2.137983210407518015e+02,7.870494072907523275e+01,1.105013292261864262e+04
2.771140555824096623e+02,7.869583250736839375e+01,1.098425631600448651e+04
2.576126527225605400e+02,7.856037545972402825e+01,1.096397313753798880e+04
2.169206377901597307e+02,7.849695058852040574e+01,1.098236987662265710e+04
2.732815618755589639e+02,7.860948649948072386e+01,1.096106710036367076e+04
2.210557311468351429e+02,7.854448522777558139e+01,1.099600648437123709e+04
2.739269027332622386e+02,7.855957308861457022e+01,1.094612786737903662e+04
2.715973621410820442e+02,7.859703426235316215e+01,1.096210052572732093e+04
3.063780468650451780e+02,7.858791972658487168e+01,1.092246101017168803e+04
2.610549573335658806e+02,7.828441226435698752e+01,1.087520852014758384e+04
3.259986930238643481e+02,7.810600103088077617e+01,1.076054627720130338e+04
4.011581870897757085e+02,7.794106096221182156e+01,1.063675811648042509e+04
3.738841322538281702e+02,7.775932290005391678e+01,1.060593164986207375e+04
4.146797047588243004e+02,7.785610693023666329e+01,1.059887423304031108e+04
3.960400200739659340e+02,7.798034268670269853e+01,1.065350149061313823e+04
3.703632167445870209e+02,7.818386653303491585e+01,1.073752352300408165e+04
3.366388830025957191e+02,7.833179421235863060e+01,1.082263845491486427e+04
2.895346380461360809e+02,7.833816045699103370e+01,1.086414307116679083e+04
2.860844047269853263e+02,7.854227529136350938e+01,1.092909420852946278e+04
3.668006298660106950e+02,7.857533708136053008e+01,1.085896416630425665e+04
3.886594063697297656e+02,7.855924037627430323e+01,1.084004171530931126e+04
3.311399258256541316e+02,7.864138736855724687e+01,1.091472801282161709e+04
3.732642417069757812e+02,7.886675103703618106e+01,1.094550718223363583e+04
3.522430963645667816e+02,7.892295136483394913e+01,1.098054680059420207e+04
3.507391349670425029e+02,7.899471412300543705e+01,1.100644001200105231e+04
3.079293820763041936e+02,7.891942292405889248e+01,1.102383306157332663e+04
3.173041906831580263e+02,7.891485280208473796e+01,1.101229273386327441e+04
3.970827737881197095e+02,7.900174670335320570e+01,1.096065632942045886e+04
3.740414361979778164e+02,7.877731984845010516e+01,1.091684428716673210e+04
3.632843188917657926e+02,7.876767627134543659e+01,1.092422217769353301e+04
3.354736572963586241e+02,7.878857460266473822e+01,1.095425781918003486e+04
3.983825875234769569e+02,7.908228385372844116e+01,1.098694558321939439e+04
3.836748453580310070e+02,7.910038458658596028e+01,1.100657390737739297e+04
3.094350574551951354e+02,7.907541935731049421e+01,1.107024314161916482e+04
4.091496888874509068e+02,7.927622309934463374e+01,1.103388560735019564e+04
4.047966580197230542e+02,7.923910634745523396e+01,1.102649219390537655e+04
4.039217520917139268e+02,7.933126173460807706e+01,1.105608842077156442e+04
4.033357395212477741e+02,7.938666024688596679e+01,1.107500239422184495e+04
3.953614717710395894e+02,7.938847373213538106e+01,1.108245390197997767e+04
3.730951403080621276e+02,7.938735803557155180e+01,1.110417266440769890e+04
3.733664610560704205e+02,7.939843603075945566e+01,1.110485416124305630e+04
4.059375802947598117e+02,7.948166137276173515e+01,1.110169735372650212e+04
4.476822935371304197e+02,7.958184575950755857e+01,1.109206411967589702e+04
3.736990151241099056e+02,7.959242547774890397e+01,1.116355446364370437e+04
3.458461199708433469e+02,7.957688969840543791e+01,1.118486396194197914e+04
3.842145220963283805e+02,7.961080388366507066e+01,1.115996119122684104e+04
3.758312026690011294e+02,7.951875805221996529e+01,1.114262970269852485e+04
4.422494739092286409e+02,7.947118877706924422e+01,1.106259670913873560e+04
3.876259268121784771e+02,7.937625272221883677e+01,1.108550004721300320e+04
3.924793210819977958e+02,7.923348453625551713e+01,1.103597261128462378e+04
3.673352551181595231e+02,7.938034277509470371e+01,1.110839623852693148e+04
4.198943819779793785e+02,7.951116861548959491e+01,1.109341319861446391e+04
4.741403763485092213e+02,7.960505663851286329e+01,1.107012950546881075e+04
4.611212612850702612e+02,7.958349689941938720e+01,1.107481866113013166e+04
4.679438276046992655e+02,7.950793997735345897e+01,1.104730518658502297e+04
3.752422867939332036e+02,7.929633902595747941e+01,1.107151724846907928e+04
4.741886194999771078e+02,7.945022398548469766e+01,1.102226220147179265e+04
4.573668485639309438e+02,7.937575386199200977e+01,1.101567277065475173e+04
4.565992820731863162e+02,7.943918631134123132e+01,1.103566792370745316e+04
4.978308990843584638e+02,7.962685840598615528e+01,1.105567498544752380e+04
4.487984500405206063e+02,7.962669727913734619e+01,1.110297457623046284e+04
5.383106503986158486e+02,7.974748626109057170e+01,1.105599257799604311e+04
5.227342914281177855e+02,7.973595405111043988e+01,1.106710527713304873e+04
4.285177854337143799e+02,7.965953846923642345e+01,1.113447400481267505e+04
5.062968538573497881e+02,7.981572323560985183e+01,1.110802857290136672e+04
4.457847538664592548e+02,7.967477953811226143e+01,1.112048804501911582e+04
5.164267905047312297e+02,7.978353752189299541e+01,1.108656326027666910e+04
5.267363487446604040e+02,7.992778596936602753e+01,1.112354434377229154e+04
5.800552731198822585e+02,8.002523166028638002e+01,1.109533335613435338e+04
7.090348700212383619e+02,8.029028391758772898e+01,1.105198694394499944e+04
7.212288653260202409e+02,8.025810522232394817e+01,1.105825901455777057e+04
