# Flux, Flux uncertainty, Sky flux
5.342942491150006897e-16,1.728312110446810214e-16,2.294882025629480906e-14
1.431041816876307977e-15,1.420535375973724689e-16,1.843395246143056932e-14
2.351150116274789296e-15,1.437135118947319563e-16,1.825906910716661798e-14
1.803981664679358685e-15,1.425784486450933570e-16,1.860172477937759465e-14
4.204964622586626742e-16,1.425337536639975562e-16,1.985948541933408901e-14
5.186926869804671165e-16,1.421038458969548958e-16,1.972550990329505834e-14
4.607962162438317036e-16,1.414380694842670362e-16,1.972919470024519193e-14
4.986405993061259778e-16,1.401212076737932573e-16,1.947106445282276568e-14
5.015972787754931274e-16,1.395048667597331337e-16,1.938682480007859625e-14
3.181171176166591730e-16,1.380557583152549030e-16,1.935678366449817075e-14
3.199733402996140960e-16,1.373470835664353814e-16,1.929612338867514858e-14
4.302544264635008474e-16,1.362137239505367436e-16,1.903353910201316259e-14
3.923437124078890049e-16,1.354341020131903753e-16,1.897768882796155142e-14
3.660945664192647652e-16,1.347693050675203263e-16,1.892154064395214904e-14
4.709708434775273299e-16,1.337479707994796383e-16,1.866835823700590350e-14
4.358843536384943630e-16,1.329252974066377263e-16,1.855120194547430205e-14
3.643590067968392666e-16,1.318503912047381356e-16,1.844695562988650213e-14
4.555908325447818799e-16,1.310507783782511841e-16,1.827332093523328818e-14
3.666754647953583903e-16,1.302854057598547185e-16,1.823958948104080210e-14
4.523096628339712744e-16,1.297180147752507208e-16,1.807430871385732262e-14
4.517449731192533575e-16,1.307296022693186601e-16,1.823314397565051794e-14
5.133774430357624163e-16,1.316845828072837215e-16,1.830204599329436281e-14
4.472148717749279987e-16,1.341095137605284214e-16,1.863038738486373283e-14
5.743204970786342283e-16,1.376014023884322664e-16,1.895713823094222942e-14
7.252786587787046453e-16,1.409144571336183520e-16,1.923085184036879736e-14
6.714267379850813603e-16,1.396413594981530832e-16,1.904629128824632303e-14
7.397590353591639235e-16,1.388897452626205185e-16,1.890763615520335455e-14
6.826241599954818753e-16,1.344088052331897656e-16,1.836263290937668099e-14
6.220795928693912359e-16,1.313213236706666651e-16,1.803525285347742433e-14
5.600661629888410772e-16,1.303206184420738181e-16,1.800562531219220415e-14
4.779920696090660005e-16,1.293282893504353009e-16,1.793558886826014305e-14
4.693882949748085477e-16,1.288669500095180688e-16,1.793173207416295904e-14
5.981683981436463127e-16,1.281385027411857622e-16,1.770850067305016026e-14
6.300200411205998152e-16,1.273451640205000313e-16,1.757179529248643094e-14
5.336101246842425315e-16,1.267254029076871169e-16,1.758836347291687341e-14
5.972903746616466322e-16,1.262010822677145935e-16,1.751479342312766087e-14
5.564121191728842869e-16,1.246686935060202866e-16,1.734514992075867184e-14
5.476688944004456796e-16,1.233479342169527282e-16,1.718623396052984009e-14
4.762759454552890607e-16,1.220650738636817629e-16,1.705061880922125030e-14
4.876396154716554407e-16,1.212779711246765187e-16,1.692391828371595474e-14
6.049646348900071782e-16,1.203609574752517793e-16,1.669880914557336918e-14
5.645559474902316214e-16,1.189018117881540204e-16,1.647723694142434364e-14
5.446354806750783064e-16,1.180884199972429562e-16,1.637758275639219994e-14
4.965983950195024327e-16,1.166299613772456217e-16,1.621548140463691682e-14
5.833877854859671150e-16,1.158073668214238787e-16,1.608918174083465876e-14
5.584115895463780060e-16,1.151250128204442679e-16,1.601928952455274280e-14
4.467466168767085047e-16,1.141650734939773516e-16,1.598265468752533883e-14
5.874306672864438556e-16,1.138196750480905661e-16,1.584173949322245836e-14
5.782954551799626209e-16,1.132015647002263821e-16,1.575252709226202723e-14
5.703516086288702058e-16,1.120185097994375787e-16,1.561158264756755989e-14
5.667581565482908896e-16,1.115523193393585836e-16,1.556234006975822552e-14
5.528835957221122941e-16,1.110188724745854613e-16,1.549798703273663870e-14
5.207108546998760725e-16,1.107970986192292464e-16,1.549755709507371654e-14
5.186377254382689302e-16,1.102911711723483038e-16,1.542558559550391554e-14
5.612555941283881550e-16,1.098925776807578018e-16,1.534937893548792107e-14
6.134509911115132572e-16,1.090495712259042760e-16,1.519925586943786161e-14
5.084587910442700098e-16,1.082942871049766298e-16,1.518924903897861665e-14
4.684341956027183625e-16,1.077835897583046471e-16,1.514943337626523420e-14
5.186774472540681215e-16,1.074720661440044054e-16,1.506559447711027028e-14
5.051090639282513144e-16,1.068715028429086278e-16,1.497545498846204220e-14
