# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
1.456372447585839495e-15,1.420992367785897303e-16,1.842913791333117886e-14
2.326040936640740019e-15,1.436614246317545438e-16,1.827479333761353709e-14
1.715088086026818606e-15,1.425755768421926546e-16,1.868254013192231917e-14
4.286096323774560239e-16,1.424982338172897077e-16,1.984841609201058705e-14
5.128454302468928302e-16,1.420366057774344340e-16,1.972588204953306356e-14
4.653137849368249330e-16,1.412808727431231009e-16,1.969838111497546585e-14
4.990478918892603161e-16,1.400363046311808567e-16,1.945946015613657506e-14
4.729490071153178022e-16,1.392786055000946453e-16,1.938213422967766915e-14
3.184410779413790723e-16,1.379320756860873433e-16,1.934619682982920773e-14
3.412485862001985026e-16,1.371284376919632931e-16,1.924546605963813593e-14
4.222433935400948262e-16,1.360489795725034054e-16,1.902173720391247265e-14
3.863139985048282230e-16,1.352813909349802030e-16,1.896479098031729335e-14
3.921155492061345239e-16,1.345159005593343438e-16,1.885872324388915438e-14
4.616197997697459295e-16,1.335287167535780430e-16,1.863713443525829117e-14
4.155054093818157181e-16,1.326190359967047499e-16,1.852150016913715270e-14
3.920320246239271418e-16,1.316078475548579058e-16,1.839428764959402752e-14
4.269836129956195426e-16,1.308045309287316613e-16,1.826246833303165066e-14
3.958035981440584213e-16,1.300924099633279221e-16,1.818336988260041085e-14
4.521071887401694891e-16,1.300807277055985524e-16,1.813126038989663026e-14
4.749786562189653486e-16,1.310896026914261940e-16,1.825911807088045587e-14
4.872176990980987554e-16,1.326433661736875259e-16,1.843186753081788145e-14
4.998113114128872447e-16,1.355544608980070486e-16,1.876559722401408951e-14
6.395671597980692352e-16,1.390333605091178362e-16,1.907544186788938476e-14
7.010112002628081297e-16,1.403407571875433039e-16,1.914768274488811335e-14
7.034779736404923156e-16,1.392888151536663895e-16,1.898125515577643832e-14
7.119077213752635993e-16,1.367054389714400251e-16,1.864196555690163785e-14
6.519957283304709753e-16,1.328469026126329386e-16,1.819701709698322052e-14
5.895660527315966976e-16,1.307966555515410862e-16,1.801971918190633782e-14
