# Flux (atmospheric extinction and telluric absorption corrected), Flux uncertainty (atmospheric extinction and telluric absorption corrected), Sky flux (atmospheric extinction and telluric absorption corrected)
nan,nan,nan
1.179121780565774387e-15,1.254101370683640819e-16,1.820132112359752078e-14
1.240748740356063735e-15,1.316210107186517645e-16,1.804941229534344356e-14
9.009490917194317409e-16,1.274411363448783704e-16,1.845281280046436579e-14
4.570559712833126212e-16,1.199804204699341811e-16,1.960502204980746394e-14
5.074452994280160385e-16,1.199724865832638060e-16,1.948457366207720599e-14
4.880649643585685009e-16,1.190541887147506300e-16,1.945800806756949152e-14
4.840295532935013597e-16,1.181457710956812341e-16,1.922268693381098677e-14
4.564402293020782262e-16,1.173255073371534177e-16,1.914697458134399925e-14
3.951581185302574101e-16,1.153430484845821377e-16,1.911192750084263931e-14
3.809489151642569191e-16,1.147046781618583829e-16,1.901252460336760531e-14
4.164418987288752139e-16,1.142490163561338267e-16,1.879143396489242246e-14
3.821147180667128419e-16,1.133140294901194338e-16,1.873523674276617242e-14
3.931612516683279429e-16,1.126269172091037505e-16,1.863083844298005057e-14
4.507976539294758913e-16,1.122684191895500540e-16,1.841255243192928886e-14
4.256201116041125423e-16,1.112186871285754189e-16,1.829898687892729840e-14
4.478199327573546881e-16,1.102040488623085930e-16,1.817390576647572159e-14
4.626235997018718665e-16,1.096709887810072721e-16,1.804420903809199552e-14
4.360288911978808077e-16,1.089344999384599061e-16,1.796658651420446037e-14
4.738670114554954974e-16,1.092255518681133568e-16,1.791564919416669397e-14
4.999335783496645950e-16,1.101332370778773724e-16,1.804255196144537238e-14
4.958127945083590602e-16,1.114094844200396328e-16,1.821382708409961952e-14
4.951165356897601353e-16,1.138093923141459537e-16,1.854418669952995515e-14
5.301255285968285684e-16,1.174460350744152355e-16,1.885095848327646832e-14
5.201965771973039902e-16,1.188484127473724456e-16,1.892293013254285919e-14
5.286674728857892025e-16,1.178615599271757843e-16,1.875903716817304403e-14
5.547886005626527173e-16,1.157073582832370599e-16,1.842429130639419965e-14
5.273908257064755521e-16,1.122283573021056890e-16,1.798510552807655842e-14
5.054101546327718718e-16,1.102435088588153889e-16,1.781043249417328060e-14
5.014530720098074860e-16,1.088961065749961759e-16,1.775947534179168422e-14
5.068163519552816701e-16,1.079798498431823863e-16,1.772620533491816338e-14
5.376986563638638734e-16,1.078876831977948388e-16,1.759718696244963443e-14
5.692204955879118205e-16,1.075823095486976982e-16,1.742419591941512448e-14
5.242447645801555501e-16,1.066501802024832612e-16,1.738060079406276137e-14
5.401088110148073644e-16,1.061355497343702669e-16,1.734128584713401998e-14
5.288488237113652606e-16,1.051732991987669342e-16,1.720550071829957787e-14
5.124559592215855719e-16,1.038847349051434666e-16,1.704186451497138838e-14
4.944932314873821349e-16,1.024352000751204955e-16,1.689771216225902726e-14
5.062970384574631645e-16,1.015396875555239638e-16,1.676755203009933781e-14
5.601695141719057657e-16,1.012352475262154252e-16,1.656969991655627766e-14
5.464965140955487282e-16,1.000984598431898676e-16,1.634624003076293375e-14
5.398854665553103813e-16,9.915942762375368610e-17,1.621575444472950833e-14
5.332825723765521333e-16,9.786188814713546843e-17,1.606762561375444576e-14
5.606228548247390735e-16,9.737956534091093256e-17,1.593322084558706204e-14
5.569680484027853500e-16,9.666350864952592834e-17,1.585226898398891472e-14
5.330563674296408958e-16,9.534293059016162410e-17,1.580999521224022318e-14
5.586491501413814965e-16,9.557827420678242012e-17,1.568530884151033049e-14
5.578877274157033041e-16,9.518893192401884994e-17,1.558819555286099455e-14
5.401380075823414005e-16,9.411765693634520554e-17,1.545263910840629226e-14
5.623504560062910608e-16,9.356232128963519396e-17,1.539330510598014878e-14
5.594455572630639115e-16,9.300491374143444757e-17,1.533020144272907795e-14
5.252372792736713374e-16,9.270609861815667264e-17,1.532584139821919730e-14
5.377223527099503596e-16,9.222934367826644145e-17,1.525752841296388407e-14
5.495692722597885087e-16,9.198517468631201039e-17,1.518065548482279272e-14
6.034311901206112202e-16,9.154886929714048629e-17,1.503103704284217387e-14
5.231097810770620412e-16,9.039153178213054463e-17,1.501987299391861715e-14
5.100339017575079583e-16,8.971348633138512375e-17,1.497768465639806741e-14
5.355731559579960039e-16,8.973726943594358815e-17,1.489332156372850226e-14
5.195927848390784099e-16,8.909495746712945186e-17,1.479712975922869593e-14
5.376582330900418919e-16,8.927345239653270902e-17,1.466751554731277980e-14
5.167282859482441673e-16,8.894744746836210412e-17,1.470754236515000775e-14
5.016216888663562398e-16,8.835371701226172825e-17,1.460923234653415353e-14
5.069456172025376947e-16,8.817555435255687944e-17,1.465356035957490076e-14
5.341210393425243714e-16,8.840350211967306369e-17,1.457293024401698453e-14
5.483285447707610081e-16,8.850825810209612676e-17,1.450056339257156593e-14
5.593212762753240640e-16,8.829677439600948747e-17,1.448123171725249619e-14
5.760047484818511158e-16,8.828734217157822184e-17,1.449887716276798508e-14
5.528010711085792626e-16,8.773023260364560453e-17,1.449633916741420797e-14
5.671305619874555783e-16,8.805802160111347800e-17,1.440301275709006647e-14
5.693217304214594244e-16,8.743283923917259007e-17,1.434514472070163198e-14
5.879299954052665135e-16,8.725840875049597408e-17,1.431367317783210211e-14
5.918942261251277245e-16,8.715679086029103389e-17,1.429245610979869161e-14
5.900530468302750744e-16,8.666644055417557351e-17,1.424089199979237949e-14
6.210544099605997494e-16,8.661675215063059706e-17,1.413466220736146262e-14
5.918417078802686807e-16,8.589040563643762258e-17,1.412008342597427068e-14
5.798983136326418770e-16,8.531397356894775638e-17,1.409352441914493265e-14
6.022416592746346048e-16,8.500654446992495732e-17,1.399625129921286981e-14
5.918619070668137665e-16,8.432621086382292910e-17,1.389176152432637635e-14
6.089386201660091142e-16,8.407893706776085827e-17,1.378697165626860091e-14
6.326599117730478390e-16,8.370623145849062136e-17,1.369814722848450043e-14
7.036999150645591850e-16,8.383351557987554795e-17,1.356983505785423418e-14
7.654249722644936757e-16,8.400004084643463838e-17,1.348369801773775019e-14
7.525045304037010209e-16,8.338395456552901531e-17,1.345663029747923546e-14
7.050035249880647060e-16,8.240406434042778948e-17,1.349161583148113099e-14
7.041895100894364146e-16,8.227804191715985549e-17,1.339927912638255884e-14
7.050305897765767755e-16,8.200508728144366773e-17,1.326847914174372887e-14
7.072200758036886981e-16,8.133474552724779877e-17,1.322828919246520254e-14
7.060273957320719250e-16,8.076236174757755224e-17,1.313471819104347454e-14
6.852506365628366226e-16,7.993686877745718637e-17,1.309191362177884378e-14
6.637376032019696035e-16,7.944379507640311106e-17,1.306116214260160077e-14
6.520675917299247354e-16,7.897331068027690098e-17,1.302258280097927909e-14
6.227125712524736174e-16,7.826475920742286427e-17,1.300218690748371094e-14
5.758637446209618701e-16,7.810080840288074489e-17,1.297401811774602214e-14
5.582279369449879147e-16,7.778605572737272108e-17,1.290825021244580153e-14
5.398848488904028674e-16,7.732057686092997482e-17,1.284133904838880751e-14
5.443802291004672748e-16,7.699859218281496831e-17,1.277041182432379912e-14
5.512047641748036616e-16,7.684069462140732816e-17,1.276819732755210936e-14
5.164052664675758329e-16,7.623461755552821750e-17,1.278971515816235401e-14
4.685989472938077872e-16,7.565858934442837438e-17,1.278996115399511097e-14
4.446461571796563451e-16,7.541812049341787181e-17,1.271843063427698941e-14
4.606947123724571041e-16,7.539441883735113162e-17,1.265715313841221352e-14
4.277788734236547782e-16,7.459510963523082802e-17,1.259640131547900413e-14
3.937521441960522255e-16,7.386783756539865225e-17,1.252837082846357934e-14
3.762563357252489796e-16,7.322754907978792987e-17,1.244858944753017423e-14
4.106524480748557410e-16,7.333915881377568486e-17,1.238838719109018669e-14
3.933525951576771708e-16,7.302003831406275001e-17,1.237833571937013547e-14
3.849577907659499205e-16,7.275755711500025029e-17,1.235884062195520848e-14
3.671563458961758681e-16,7.248834203027478132e-17,1.227192909204283654e-14
3.348991042713498324e-16,7.181161289018797880e-17,1.227757320731669816e-14
3.271253553914605400e-16,7.096120478275763237e-17,1.221916340020375934e-14
3.228491178949876066e-16,7.070279430346289807e-17,1.207454592429016608e-14
3.396059044530680991e-16,7.025833898584017115e-17,1.201446007459746792e-14
3.803751920881428290e-16,7.014671903792019370e-17,1.186521449758842633e-14
3.861392057261516345e-16,7.012582317840802089e-17,1.169016402190473531e-14
3.983325543581868494e-16,7.003839922955896468e-17,1.165616920976164684e-14
3.720398251022815935e-16,6.955598254498174742e-17,1.168770496808982230e-14
3.532431014818224366e-16,6.911044198392430863e-17,1.172977647830700047e-14
3.609828998317320946e-16,6.906205395732097286e-17,1.173845425091341385e-14
4.057939897991410788e-16,6.947964567940401336e-17,1.166549972629541766e-14
4.003109371238914527e-16,6.913563616652309360e-17,1.168981165164795195e-14
3.755023115022648648e-16,6.887216006462310672e-17,1.175583576694265331e-14
4.190891334771700206e-16,6.929027046914828940e-17,1.166173953419115501e-14
4.142898829571058405e-16,6.903921284679359786e-17,1.164403278518578492e-14
3.940270461071900988e-16,6.862220159101783133e-17,1.165781067693790296e-14
4.205071832691797308e-16,6.858354144863992196e-17,1.161650501960293476e-14
4.454634383615415368e-16,6.866653722239349643e-17,1.161396879707956345e-14
4.683880967161521598e-16,6.845451572301794800e-17,1.158866568720211687e-14
5.002541662335795968e-16,6.850288651012343402e-17,1.153165717121182823e-14
5.311671204803495703e-16,6.826003349010291433e-17,1.147366024060928413e-14
5.710043618161279151e-16,6.846229517280453017e-17,1.139680164273984707e-14
6.188386528259084756e-16,6.875426570772573942e-17,1.134516800136249460e-14
6.848473260149953423e-16,6.892881870279862711e-17,1.134634369954314917e-14
7.457973911880986628e-16,6.922210029575514310e-17,1.136369509127777849e-14
7.974326326202490675e-16,6.934754077660271620e-17,1.135049187312135066e-14
8.991477899810638184e-16,7.001526912024787541e-17,1.130357303653999635e-14
1.077768118466954638e-15,7.139171645882135378e-17,1.126243693338873721e-14
1.271581398681910645e-15,7.277609250864310251e-17,1.126665880838216083e-14
1.432081559680392517e-15,7.393280272889245472e-17,1.125220712674725630e-14
1.550812355873532915e-15,7.446998552909087816e-17,1.122200384744592775e-14
1.662629373557085520e-15,7.483420689725203508e-17,1.115563950010101606e-14
1.727484466968076617e-15,7.517467687442827828e-17,1.104586490702522041e-14
1.734226998522135484e-15,7.499653461868137071e-17,1.096326010612801012e-14
1.663732545126793075e-15,7.401021270541212446e-17,1.093175938748020874e-14
1.565608592202134672e-15,7.287387179549722424e-17,1.095357914561912343e-14
1.453514914977859957e-15,7.189579665449937446e-17,1.096603369016370654e-14
