# Flux, Flux uncertainty, Sky flux
3.909005357075189872e-13,1.737502323179436340e-15,1.283181217730784680e-13
3.973173222455636729e-13,1.557697572991304438e-15,1.031926789593658542e-13
3.916166629211813882e-13,1.539420676592815434e-15,1.021888335519246579e-13
3.878126730378685371e-13,1.525581107252097926e-15,1.036785341188290892e-13
3.867725845599555497e-13,1.520266067246974115e-15,1.051587277536881208e-13
3.854469580829558488e-13,1.518171291283569917e-15,1.043206833582729696e-13
3.838963838112903903e-13,1.506694999740877259e-15,1.037730466093400340e-13
3.824259157545189267e-13,1.498201346476004629e-15,1.036237937372394219e-13
3.801577299424150825e-13,1.490274646645945467e-15,1.028910342459641741e-13
3.792457378056075296e-13,1.481707342316991228e-15,1.018641793561009061e-13
3.769140868486377710e-13,1.470952275856291112e-15,1.011743007307617366e-13
3.764603579943669950e-13,1.463535774087005012e-15,1.001904892871192619e-13
3.748757734599820034e-13,1.455925688186742034e-15,9.965564379767314752e-14
3.709783281886603881e-13,1.444571577836237598e-15,9.888130218798258415e-14
3.674877161531997307e-13,1.428990376028896789e-15,9.816715172157357060e-14
3.683177165702135241e-13,1.430682121848679380e-15,9.758043462212541832e-14
3.644756209504795810e-13,1.418403396185711695e-15,9.690159106487455129e-14
3.610368877336140662e-13,1.406841881155074450e-15,9.651346433210365522e-14
3.594376035776507713e-13,1.400383813951464221e-15,9.621286724253653088e-14
3.546783058655909748e-13,1.388448899762627130e-15,9.562823696760502990e-14
3.501611392865024138e-13,1.386135614643196318e-15,9.660704353497521184e-14
3.452668940320057084e-13,1.382790948774880830e-15,9.712826143013715217e-14
3.420750884341638676e-13,1.393586658327643123e-15,9.896470691620221548e-14
3.395602440595007621e-13,1.410346055387169433e-15,1.015094682265046937e-13
3.383227814493312480e-13,1.427977271056631734e-15,1.038375679790046232e-13
3.339543500489519293e-13,1.414443049887662665e-15,1.029800094060786703e-13
3.397431758650996941e-13,1.420589616249745539e-15,1.026266736210897543e-13
3.433422396168162348e-13,1.401120726140303807e-15,9.946339904507578978e-14
3.469072069096891965e-13,1.388146761514903512e-15,9.682587458745156480e-14
3.514837979182503500e-13,1.389506139722300723e-15,9.619547213140678746e-14
3.566367935715066518e-13,1.393225603972937775e-15,9.583605335888923565e-14
3.582466186792604371e-13,1.391345253722558373e-15,9.490098552094177755e-14
3.583719140972599741e-13,1.387235059582666882e-15,9.468713369562509744e-14
3.567852446509335468e-13,1.379956814693512575e-15,9.399579754332485259e-14
3.553441533051057070e-13,1.373309883386253323e-15,9.374924415886089914e-14
3.555215986188305692e-13,1.368567519278653680e-15,9.330496683720830272e-14
3.537289779627199412e-13,1.355857095455429356e-15,9.190415762074795146e-14
3.524477166301245316e-13,1.345197489476081684e-15,9.083554171813141782e-14
3.515361853754168939e-13,1.336824573801369697e-15,9.002798274533599667e-14
3.501915081911312799e-13,1.329921411227272982e-15,8.944206282891473371e-14
3.500199483094551548e-13,1.323426147845090747e-15,8.861648955813956277e-14
3.486211354043519365e-13,1.314406038846169557e-15,8.776046407555930775e-14
3.476082329018002761e-13,1.308080592347540442e-15,8.746695947803052686e-14
3.464141233389207531e-13,1.297100870551289878e-15,8.626810341501179772e-14
3.465580100390666961e-13,1.289850010086057471e-15,8.534021365509449222e-14
3.456570113218781730e-13,1.284135794963440404e-15,8.480768715203611493e-14
3.419802015971178803e-13,1.272526982605178176e-15,8.442269948166404988e-14
3.406779171977470407e-13,1.266462201113867133e-15,8.392475207281462578e-14
3.401667588288916143e-13,1.262182234725008140e-15,8.338535200488888265e-14
3.387470484051735233e-13,1.252084185133334119e-15,8.273206584427429934e-14
3.375197606299360053e-13,1.246712876584625698e-15,8.220153000276057930e-14
3.363037513872829470e-13,1.241585124234598059e-15,8.207417928625801714e-14
3.336927478031174835e-13,1.236009839297868406e-15,8.216126305012651286e-14
3.333608826252773416e-13,1.232339590100310861e-15,8.173019677450614712e-14
3.327364807047420103e-13,1.228313313873249883e-15,8.156651313997136713e-14
3.322507926796104924e-13,1.221457884847215706e-15,8.053181500297162646e-14
3.298650459735049595e-13,1.212736637441498740e-15,7.980568428705292487e-14
3.304732436093302314e-13,1.210810029339305958e-15,7.943190532493175626e-14
3.310206009101750706e-13,1.209603661639492483e-15,7.912175422746648437e-14
3.285194893856635271e-13,1.202414521918023510e-15,7.855927004949782915e-14
3.279677363151460377e-13,1.199605084610967998e-15,7.843507369974884410e-14
3.277312651075099539e-13,1.200623818336639327e-15,7.850140328748659900e-14
3.272889299370756985e-13,1.197549929127040327e-15,7.861549341504827986e-14
3.268023786325062448e-13,1.195466359068918264e-15,7.836226281383739309e-14
3.255781757538423662e-13,1.190800434498226546e-15,7.797619381582356207e-14
3.253674220200012496e-13,1.188081566010620833e-15,7.739059554402907449e-14
3.243242158012556949e-13,1.184877992984506539e-15,7.734949201079707905e-14
3.238908952140240653e-13,1.186432430061094506e-15,7.778437658148379237e-14
3.228869427896483103e-13,1.184698101244074125e-15,7.782299082146357473e-14
3.216131550692857402e-13,1.180872723014852930e-15,7.742150486309283669e-14
3.206379078192791438e-13,1.176671757619193458e-15,7.704012337562576529e-14
3.190713815968239589e-13,1.171619210679299011e-15,7.703196714386053085e-14
3.187396883510008639e-13,1.168543288258342295e-15,7.647503982027957817e-14
3.185606965709242932e-13,1.165600008631693589e-15,7.649161887578173639e-14
3.148821745674133785e-13,1.155908790747067748e-15,7.608205562923727877e-14
3.153940958521918029e-13,1.154325845496937132e-15,7.574847119683547166e-14
3.145174052130251229e-13,1.150380839591237735e-15,7.529056657282018803e-14
3.136246005169326604e-13,1.145683900020058760e-15,7.528752353900310824e-14
3.126663445635282240e-13,1.140069348359403139e-15,7.453209701284995732e-14
3.121032313561627552e-13,1.134603874390548576e-15,7.384833889468676449e-14
3.112171347309571357e-13,1.128890679817286960e-15,7.359017699314644426e-14
3.108016645283201681e-13,1.124234828216418868e-15,7.322698005447753046e-14
3.094202562886173841e-13,1.118510553502348956e-15,7.252704710024416779e-14
3.079355733619464799e-13,1.114010392089032518e-15,7.271582193150436838e-14
3.080811696179159802e-13,1.109722122953269840e-15,7.198136838860927086e-14
3.066877543472305866e-13,1.104204739939728868e-15,7.144607963247520729e-14
3.063061615742734599e-13,1.100745343075988801e-15,7.110605213172450222e-14
3.058033909739340123e-13,1.096389523186577339e-15,7.081919387151026140e-14
3.052464900510347317e-13,1.092840986848704056e-15,7.036871725832326177e-14
3.041842083692079791e-13,1.084573715622478418e-15,6.963219342280681930e-14
3.032533997717033401e-13,1.081070965882620827e-15,6.964129569726757260e-14
3.024696080068277666e-13,1.077579482476667806e-15,6.914751898893972766e-14
3.016102669244633476e-13,1.074262490397897469e-15,6.913901330353592100e-14
