# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
3.970866493799694266e-13,1.556958012209558300e-15,1.031520591146125117e-13
3.913603157591449674e-13,1.538488041535119019e-15,1.022892230178076134e-13
3.877146241815765412e-13,1.525080059884767846e-15,1.038180715678736583e-13
3.866120428135785088e-13,1.520012376635577647e-15,1.050572352796648430e-13
3.852176300446479455e-13,1.516473961800791800e-15,1.042396885529075964e-13
3.836395708862290432e-13,1.505211608157248697e-15,1.037469800338157035e-13
3.819692139457134347e-13,1.496605296394513337e-15,1.034762517751572089e-13
3.799497857077635492e-13,1.488321207060438493e-15,1.026569000406866601e-13
3.786520374880297837e-13,1.478968816486527188e-15,1.016885179185561277e-13
3.767864992565707197e-13,1.468866771279278901e-15,1.008976550381617368e-13
3.759727419474179763e-13,1.461193961502630004e-15,1.000259040361383458e-13
3.735732180964144600e-13,1.452131059575941310e-15,9.939685303944039763e-14
3.697194538780206204e-13,1.438952284003267566e-15,9.862374687477085664e-14
3.678089591522439869e-13,1.429645148592412762e-15,9.794006899154875379e-14
3.667294366371548187e-13,1.425606232150917211e-15,9.729980818635171159e-14
3.629636309184501437e-13,1.413319868508791265e-15,9.673093410659829830e-14
3.602916943224627435e-13,1.403832716641714877e-15,9.637339981028529205e-14
3.570952186880893678e-13,1.394509803888318960e-15,9.592512959617966109e-14
3.523368702204671721e-13,1.387249827702490183e-15,9.613559319332657051e-14
3.474963770216028217e-13,1.384314549508302184e-15,9.689083024908437688e-14
3.434458071335782029e-13,1.388950448350624904e-15,9.817604667639738239e-14
3.405747617379586031e-13,1.403585118301564610e-15,1.004828817057768221e-13
3.387898230649647036e-13,1.421322919333859875e-15,1.029588994351409639e-13
3.354897248138578666e-13,1.419199929357874007e-15,1.032814159457773240e-13
3.378585256312049384e-13,1.418588497525524104e-15,1.027417080669293774e-13
3.422635711355245539e-13,1.406955709784805916e-15,1.004114579899027958e-13
