# Flux (atmospheric extinction and telluric absorption corrected), Flux uncertainty (atmospheric extinction and telluric absorption corrected), Sky flux (atmospheric extinction and telluric absorption corrected)
nan,nan,nan
4.227280943609103613e-13,1.556958012209558300e-15,1.031520591146125117e-13
4.166319888811978021e-13,1.538488041535119019e-15,1.022892230178076134e-13
4.124168875602380692e-13,1.525080059884767846e-15,1.038180715678736583e-13
4.077712422411151254e-13,1.520012376635577647e-15,1.050572352796648430e-13
4.042289904538264814e-13,1.516473961800791800e-15,1.042396885529075964e-13
4.016098676422861791e-13,1.505211608157248697e-15,1.037469800338157035e-13
3.991579456717251559e-13,1.496605296394513337e-15,1.034762517751572089e-13
3.957645615122343483e-13,1.488321207060438493e-15,1.026569000406866601e-13
3.944127966884181962e-13,1.478968816486527188e-15,1.016885179185561277e-13
3.924696085411149730e-13,1.468866771279278901e-15,1.008976550381617368e-13
3.913907574198003911e-13,1.461193961502630004e-15,1.000259040361383458e-13
3.880583671058088776e-13,1.452131059575941310e-15,9.939685303944039763e-14
3.833536689656357214e-13,1.438952284003267566e-15,9.862374687477085664e-14
3.807344801311549645e-13,1.429645148592412762e-15,9.794006899154875379e-14
3.787460608417848682e-13,1.425606232150917211e-15,9.729980818635171159e-14
3.747367735027110865e-13,1.413319868508791265e-15,9.673093410659829830e-14
3.715229308742498160e-13,1.403832716641714877e-15,9.637339981028529205e-14
3.672268099165475005e-13,1.394509803888318960e-15,9.592512959617966109e-14
3.591108349338619814e-13,1.387249827702490183e-15,9.613559319332657051e-14
3.489238408936530939e-13,1.384314549508302184e-15,9.689083024908437688e-14
3.369530581683666313e-13,1.388950448350624904e-15,9.817604667639738239e-14
3.231823493714525799e-13,1.403585118301564610e-15,1.004828817057768221e-13
3.105746602240704270e-13,1.421322919333859875e-15,1.029588994351409639e-13
3.037244187247109304e-13,1.419199929357874007e-15,1.032814159457773240e-13
3.058689334389023887e-13,1.418588497525524104e-15,1.027417080669293774e-13
3.160033866551468868e-13,1.406955709784805916e-15,1.004114579899027958e-13
3.266128509205099390e-13,1.391700252279193560e-15,9.754827664968686419e-14
3.333202711033041455e-13,1.389168844486168015e-15,9.635189051748448799e-14
3.388633049828592380e-13,1.392398394717543618e-15,9.591598813313474189e-14
3.412979356240413000e-13,1.391715156957352982e-15,9.508493243080032840e-14
3.416989387089461147e-13,1.387938254248950328e-15,9.472372064451837906e-14
3.404265636354182589e-13,1.381015766539863664e-15,9.409638383934501087e-14
3.389971367376810537e-13,1.374107185219918517e-15,9.377881832721656616e-14
3.393429479348776974e-13,1.369015436235151608e-15,9.334692889268118383e-14
3.400629340674545053e-13,1.356734049175776551e-15,9.200080623537769718e-14
3.408418748681247332e-13,1.345662083060697757e-15,9.088211680671687678e-14
3.413015348705792803e-13,1.336928099823631961e-15,9.003853499144242984e-14
3.403359007743878676e-13,1.329711116459087841e-15,8.941533354491466966e-14
3.412334466410862794e-13,1.322906526638330850e-15,8.856717651831612142e-14
3.411719591931871447e-13,1.313882340786673528e-15,8.773616416436531309e-14
3.408468277269249275e-13,1.306895523648554276e-15,8.733756395952489120e-14
3.423315259688058466e-13,1.296136305835357224e-15,8.614466844795058029e-14
3.440287796082856440e-13,1.288946720416405129e-15,8.525603311958668941e-14
3.430766580699805417e-13,1.282010424073036788e-15,8.473720263023309338e-14
3.406835141274630387e-13,1.271265251530665384e-15,8.431910535875647521e-14
3.396798679499067732e-13,1.265465153455725218e-15,8.379909511066489037e-14
3.395133644532820101e-13,1.259578691931803297e-15,8.321691764933067573e-14
3.398114527506720192e-13,1.250565981979372766e-15,8.258210961283246862e-14
3.385519905885474513e-13,1.245136454120923583e-15,8.216237863261647768e-14
3.365264130719215107e-13,1.239733219200113524e-15,8.210310531650760660e-14
3.340355679375106534e-13,1.234700104164465851e-15,8.200743626191261528e-14
3.335832986771736781e-13,1.230803585468225578e-15,8.166775227078528561e-14
3.335865792067096396e-13,1.225529371545417101e-15,8.114632938062029854e-14
3.334822957285982235e-13,1.217702116416469826e-15,8.021910987117423726e-14
3.328694295915815804e-13,1.211859735644508217e-15,7.963555760524965503e-14
3.332813417358626035e-13,1.210231436997752656e-15,7.928315212991042614e-14
3.320961835831195495e-13,1.205980105305828658e-15,7.883824421310729842e-14
3.303154560851253974e-13,1.200930005790161905e-15,7.849364428032302477e-14
3.285077375008846725e-13,1.200168168678281174e-15,7.847173601209348590e-14
3.271142607434108768e-13,1.198850153428147628e-15,7.856723443554150892e-14
3.261266772141041511e-13,1.196297192451822930e-15,7.846323970983322831e-14
3.248149649410310846e-13,1.192548125890560423e-15,7.812080169673828434e-14
3.240514246799962965e-13,1.189034313060247958e-15,7.759580113902652099e-14
3.228101140509370207e-13,1.185923387464783999e-15,7.736290497388870285e-14
3.203010478544082569e-13,1.185962573719427279e-15,7.765292496050283210e-14
3.178012143017579158e-13,1.185180695097586172e-15,7.781224603380311709e-14
3.158646661753199157e-13,1.181845505458660973e-15,7.752360156264401785e-14
3.146840115684145145e-13,1.177639575499788565e-15,7.712798599484180098e-14
3.132445707612386655e-13,1.172662602902864690e-15,7.703365147235834214e-14
3.126190938535627367e-13,1.169105203792759865e-15,7.657678039492141387e-14
3.125576501424516082e-13,1.166067699448148462e-15,7.648898444311224943e-14
3.098769225633769174e-13,1.157218714454950887e-15,7.613741467831790512e-14
3.099197180472635159e-13,1.154502306510346684e-15,7.578565798329847407e-14
3.091917249500406986e-13,1.150727338311110876e-15,7.533078536332088033e-14
3.087983237375516372e-13,1.145985601559549920e-15,7.528771900415087324e-14
3.085802075253810379e-13,1.140297751639342321e-15,7.456282821041566686e-14
3.090756361674858834e-13,1.134661804166187683e-15,7.385845760109271784e-14
3.092850385961504256e-13,1.128752376851377675e-15,7.357938815833526074e-14
3.097041380769901311e-13,1.123931006782523827e-15,7.318983043388666941e-14
3.087896418550203320e-13,1.118166735943124411e-15,7.254146971662740489e-14
